,video_id,comment_desc,comment_publish
27,hHGlDhJkDKI,You have no idea just how much and in how many ways you are impacting our careers as business students. Thank you for breaking down complicated business models into bite sized enjoyable case studies like these :),
28,hHGlDhJkDKI,Art of storytelling. Bro you are amazing.,
29,hHGlDhJkDKI,You are catering to our pain of lack of quality videos on youtube.,
30,hHGlDhJkDKI,You are just awesome bhai,
31,hHGlDhJkDKI,What happened to Walmart ??,
32,hHGlDhJkDKI,Thanks a ton for such powerful and beautiful videos . They are to the point and yet so valuable and interesting that to watch your video has become my daily routine.,
33,hHGlDhJkDKI,Most underrated channel ☹️<br><br>You must deserve atleast 10M subscriber..<br><br>Keep it bro..I am trying to support you at my levels,
34,hHGlDhJkDKI,BJPs bad policies allowed Dmart eat and destroy all the small businesses in India now !!,
35,hHGlDhJkDKI,The voice and clarity is superb thinkschool,
36,hHGlDhJkDKI,Publix bro?,
37,hHGlDhJkDKI,☺️💌,
38,hHGlDhJkDKI,When Ganesh was still learning to fade the music at the end 🙈 and the only time I found something unusual 😁,
39,hHGlDhJkDKI,Pleased to see you everytime,
40,hHGlDhJkDKI,Wah! This video makes me emotional.. ❤️,
41,hHGlDhJkDKI,"Soo much knowledge and lessons in each video,stopped watching cars and mobiles which are pointless compared to this. <br>keep up the good work.",
42,hHGlDhJkDKI,You&#39;re very good at what you do.,
43,hHGlDhJkDKI,You&#39;re,
44,hHGlDhJkDKI,Axis Bank has started the similar initiative in India now. As Don&#39;t Bargain at Small enterprises.,
45,hHGlDhJkDKI,Your videos are very informative.,
46,hHGlDhJkDKI,Great <br>love from germany,
47,hHGlDhJkDKI,"Entire day is dedicated to think school channel, addicted",
48,hHGlDhJkDKI,Love you bhai ❤️,
49,hHGlDhJkDKI,I have  few ideas to bring more subcribers to your channel.,
50,hHGlDhJkDKI,Lessons learned from this case study.<br><br>&quot;Participating marketing campaign&quot; a new Business strategy in this digital world.,
51,hHGlDhJkDKI,India can grow after 25 years later when other countries grow  25  years before 💯,
52,hHGlDhJkDKI,Hey can you suggest any one book after your every idea on any business or marketing would be good,
53,hHGlDhJkDKI,Advanced congratulations fir 400k,
54,hHGlDhJkDKI,No no no not algorithm..... &quot;YouTube Baba&quot; 😁,
55,hHGlDhJkDKI,"Wow..... that was such a optimistic video 💖👌🏾✌🏾✌🏾✌🏾.<br>Hoping to use most of the information provided by you in my business studies class.<br>Thank you so much, good luck and God bless you.",
56,hHGlDhJkDKI,I kinda like this fella never even gives his name only keeps things straight,
57,hHGlDhJkDKI,I think the music in the video increased abruptly towards the end,
58,hHGlDhJkDKI,Pls put your episodes on Google Podcast.  Thank you 🎈,
59,hHGlDhJkDKI,I just cannot tell you how greatful i am to you.<br>Your content is like Bramhastra.<br>And your &quot;Hi Everybody&quot; will be iconic in coming future.<br>I love you brother.,
60,hHGlDhJkDKI,One of the greatest video in my life sir u r my inspiration keep doing case studies ❤️,
61,hHGlDhJkDKI,Did American express earned anything from this very campaign?,
62,hHGlDhJkDKI,Thumbnail error it’s president Obama,
63,hHGlDhJkDKI,Please change the background colour I can&#39;t see subtitles,
64,hHGlDhJkDKI,There are audio issues throughout the video. Please work on it and correct it for much better listening experience.,
65,hHGlDhJkDKI,Edit your thumbnail Obama was a president,
66,hHGlDhJkDKI,PM Obama?<br>Is it click bait tactic?,
67,hHGlDhJkDKI,Thank You So Much....your videos are extremely helpful,
68,hHGlDhJkDKI,I smiled more often while watching this video... than I ever smiled while being with my girlfriend.,
69,hHGlDhJkDKI,Your video content is always very informative and intresting,
70,hHGlDhJkDKI,This one is really amazing case study. Simple awesome,
71,hHGlDhJkDKI,Something really needs to be done about amazon too,
72,hHGlDhJkDKI,Have learn so much which I have never think,
73,hHGlDhJkDKI,Doopest ❤️❤️👌,
74,hHGlDhJkDKI,I&#39;m wow-ed by this channel since last few days after I lucky discovered it.. kudos. Is there anywhere to get in touch with the host?,
75,hHGlDhJkDKI,What category of audience dislikes these videos. Amazing presentation,
76,hHGlDhJkDKI,Can we apply such in india also?,
77,hHGlDhJkDKI,"Literally speaking. The ICAI president, bschool deans, finance minister should subscribe to your channel",
78,hHGlDhJkDKI,"Dude, how can you boost yourself every time? You are awesome 😁",
79,hHGlDhJkDKI,Amazing!,
80,hHGlDhJkDKI,"Hi Think School, can you please help us understand different network marketing models as one of the coming video so that society can make a clear differentiation whats best and whats not to pursue!<br><br> Leadership driven network business model vs pyramid or mlm schemes. <br><br>A person should pursue these models or preferably jump into startup and slowly steadily automate the business sitting in B quadrant down the lane.",
81,hHGlDhJkDKI,One idea not always generate revenue. Ideas keeps evolving- Idea is the capital,
82,hHGlDhJkDKI,"<a href=""http://www.youtube.com/results?search_query=%23vocalforlocal"">#VocalForLocal</a>",
83,hHGlDhJkDKI,Samsung business model plzzzzzzzzzzzz...... 😀,
84,hHGlDhJkDKI,U can give dmart as example,
85,hHGlDhJkDKI,Just got another idea thank you Think School and Ganesh you&#39;re the best while explaining case studies and Inspiring to Learn through your videos !!,
86,hHGlDhJkDKI,"I would like to share my dilemma here and I am pretty sure that perhaps it&#39;s the same with a lot of people. Today, the e-commerce sites sell various products at prices cheaper than the local brick and mortar stores. So, most of us end up buying those things online. Whereas the business for these small stores are diminishing by the day and they are downing the shutters. A classic example would be the bookstores. Nowadays any title is available at a higher discount at any online site. So its completely reasonable from the customer point of view to buy them online. But business for these small stores are also important and as accentuated by this video, they need to be supported. Would be very interesting to know to your thoughts and views on this.",
87,hHGlDhJkDKI,"Socialism is on the rise in America. These initiatives were taken by left centric political movements in USA.<br>There are more such positive changes born out of  Obama, Bernie Sanders campaigners who are now with Biden.",
88,hHGlDhJkDKI,"is this idea by American express patented ? <br>if no, why aren&#39;t Indian banks using this idea ??<br>or have they already used it ?",
89,hHGlDhJkDKI,Great content bro. Subscribed !!,
90,hHGlDhJkDKI,"So basically, American Express bled out their own savings to gain market trust, something which Amazon and Walmart were also doing but to create more profit and kill competition. Their strategy turned against them🤔",
91,hHGlDhJkDKI,💯💯💯,
92,hHGlDhJkDKI,👍👍👍,
93,hHGlDhJkDKI,"Bhaiya, you are the best and definitely one of the underrated creators on youtube. Kudos to you, Bhaiya. More and more power and success to you!!!",
94,hHGlDhJkDKI,But what is the fault of walmart ?,
95,hHGlDhJkDKI,Great ..really amazing videos ..,
96,hHGlDhJkDKI,Wow<br>Amazing content !,
97,hHGlDhJkDKI,This is most best case studies I have ever heard!,
98,hHGlDhJkDKI,this channel is a 💎,
99,hHGlDhJkDKI,Best contents,
100,-_jOwk6GsXo,"In this video, we discuss how to find gold mines in particular sectors and invest in them. We hope you get the concepts. We are not financial advisors so don’t take our word for it do your own research using these links:<br><br>To get free curated portfolios &amp; stock market news: <a href=""https://link.smallcase.com/L5R0puAtRhb"">https://link.smallcase.com/L5R0puAtRhb</a><br><br>To invest in the green portfolio mentioned in the video: <a href=""https://link.smallcase.com/gxqSgaUtRhb"">https://link.smallcase.com/gxqSgaUtRhb</a> <br><br>To invest you will need a Demat account, use this link to open it: <a href=""https://zerodha.com/open-account?c=ZMPUJE"">https://zerodha.com/open-account?c=ZMPUJE</a>",
101,-_jOwk6GsXo,Great and wonderful knowledge to get learnt,
102,-_jOwk6GsXo,"Watch thie two minute youtube on Hydrogen:  <a href=""https://www.youtube.com/watch?v=8X8q8a1suo4&amp;t=3s"">https://www.youtube.com/watch?v=8X8q8a1suo4&amp;t=3s</a>",
103,-_jOwk6GsXo,Be fearful when others are greedy and be greedy when others are helpful - Warren Buffett,
104,-_jOwk6GsXo,Can you explain the video in Hindi. Because more audiences are leasing Hindi. The video&#39;s are more valuable for all Indian&#39;s. Thanks 👍😊,
105,-_jOwk6GsXo,"In Hyderabad when IT was flourishing in last 20 years. Rajasthani business men opened shops selling hardware, furnishings, household items even food joints. And made ton of money.",
106,-_jOwk6GsXo,Please start a channel in Hindi also...,
107,-_jOwk6GsXo,No words for the such a simplistic approach to explain a complex topic. Hats off to your teaching skills 🔥,
108,-_jOwk6GsXo,"This is Gold, absolute Gold🚀",
109,-_jOwk6GsXo,Goldmine,
110,-_jOwk6GsXo,"Brother, can you suggest the best book for beginners, on stock market <br>Thank you",
111,-_jOwk6GsXo,Next Goldmine stock is Borosil Renewables Ltd,
112,-_jOwk6GsXo,Superb case study..all the best Team Think School,
113,-_jOwk6GsXo,we need innovation. Solar and wind cannot continue to be subsidized by the government. It is not sustainable. finding a new source of energy is where we should spend our money. Fracking is a type of innovation that helped.,
114,-_jOwk6GsXo,bro can you post videos related to stock market??,
115,-_jOwk6GsXo,What a wisdom,
116,-_jOwk6GsXo,The way you explain concepts is very amazing and I can understand it easily you are way better than my lecturer he just explains oudadated and irrelevant concepts tells us to byheart and his class is totally boring I am really grateful for you amazing work thank you.,
117,-_jOwk6GsXo,"Solar cell manufacturing company are not pick and shovel of the industry, they are the forefront of it all",
118,-_jOwk6GsXo,This video is an eye opener. Thanks a lot for the video!!,
119,-_jOwk6GsXo,"The chatter box has poor English and moves his hands way too much! Little boring, dull and too long. Can improve over time with positive feedback!",
120,-_jOwk6GsXo,It&#39;s a sincere thank you for  the vast amount of knowledge you have shared with us🙏🏻🙏🏻🙏🏻,
121,-_jOwk6GsXo,"Hi Ganesh, Thanks for this video. You are a great story teller! Unsure if you have put the Ola video as you stated. If so please can you tag that in this comment",
122,-_jOwk6GsXo,"Reliance purchased Norway&#39;s REC solar holding company,  from Chinese firm Bluestar, reliance is pretty serious about it",
123,-_jOwk6GsXo,"The total electricity generated till 2013 was only 223.6 GWS, and within a span of just 7 years it  crossed 406 GWs, most of it renewable energy. If India is able to generate the set target by PM modi, then India will have around 900 GWS.  However which would still won&#39;t be enough for a large country like India..",
124,-_jOwk6GsXo,Great Video Bruh 💯,
125,-_jOwk6GsXo,Crypto currency is booming right now . There are a lot of people who are turning into Crypto mining . The price of graphic cards is raising like crazy . I feel investing into graphic card companies might be advantageous . If you disagree please do feel free to counter my argument and let me know something I don&#39;t :),
126,-_jOwk6GsXo,Two minutes of silence for those who have disliked the video,
127,-_jOwk6GsXo,Smallcase will be successful regardless of which investor is successful.,
128,-_jOwk6GsXo,Plz make video on coca-cola n wwe n honda and upload ur video in 1080p60fps,
129,-_jOwk6GsXo,You invest in these ev companies,
130,-_jOwk6GsXo,Jab stock market se paisa na bane.. to stock market k gyaan se banao,
131,-_jOwk6GsXo,Hardest part of the videos is my competitors were also watching,
132,-_jOwk6GsXo,Love u bhai,
133,-_jOwk6GsXo,"Hi sir, appreciate ur efforts in making such really insightful and detailed videos. <br>Could u work out and share some good work on Crypto mining/the crypto world as such. And the opportunities and future that u see as an influencer.",
134,-_jOwk6GsXo,"thank you so much brother, you&#39;ve done a great job.",
135,-_jOwk6GsXo,Why are you sharing all these information for free? What&#39;s in it for you...,
136,-_jOwk6GsXo,Each n every video is well researched n highly constructive thanks n wish you well for more such videos,
137,-_jOwk6GsXo,best thing i have done in lockdown is subscibe your channel🤗,
138,-_jOwk6GsXo,Greatest explainer ever !!!!,
139,-_jOwk6GsXo,"Such a great video man,really a very deep research",
140,-_jOwk6GsXo,make a video on Oyo...please...,
141,-_jOwk6GsXo,"Green energy is a scam!<br>There’s a reason why petroleum has been extremely popular for the last century and not green energy.<br>If you buy into, mark my words, you will be a millionaire in the short term, but in the long run, you’ll probably lose everything",
142,-_jOwk6GsXo,Awesome explanation... Getting addicted to your videos and explanation... Thank you so much!,
143,-_jOwk6GsXo,This video doesn&#39;t worth giving free. You would have asked 1000 in return,
144,-_jOwk6GsXo,Hello,
145,-_jOwk6GsXo,Gr8 explanination. &lt;3,
146,-_jOwk6GsXo,When world is waiting for vaccine the richest people start preparing syringes 💉🙄,
147,-_jOwk6GsXo,Can we expect a self help video after too many Business related videos ?,
148,-_jOwk6GsXo,"While Everyone is rushing to Invest in the capital market (Gold mine), Catering them is a also a 2nd order thinking.<br><br>😅😎",
149,-_jOwk6GsXo,What an insightful video. Great man. Keep the good work going.👍,
150,-_jOwk6GsXo,Does everyone these days want to be an entrepeneur or there are only a handful of students ditching JEE preparation for developing a business with entrepreunial mindset? I&#39;m really curious to know as I think everyone is doing this and ultimately the ones doing IIT would succeed.,
151,-_jOwk6GsXo,Great 👍🏻👍🏻,
152,-_jOwk6GsXo,"Lesson learn from this video - &quot;Think school is following the THIRD ORDER APPROACH. People want to earn money by investment in green revolution, think school instead of running behind investment into forefront companies or even into second order companies, is sitting and giving people the key to success which is the knowledge required to make things happen. Of all the million viewers barely 5% will actually do the research and of those hardly 20% will actually put their money onto something. But think school will get ad revenue from all those million views.&quot;<br>Bdw Big fan of think school and I&#39;m a viewing spree of all your videos. Highly informative and eye openers.",
153,-_jOwk6GsXo,Mind blowing video man 🔥🔥,
154,-_jOwk6GsXo,Nice one ..Were you paid by Smallcase for this??..Dont want to assume anything so just asking..,
155,-_jOwk6GsXo,Thanks for educating us🌟,
156,-_jOwk6GsXo,"In crypto gold rush, Binance is one such company which is achieving great success!!",
157,-_jOwk6GsXo,Nice 💚,
158,-_jOwk6GsXo,Pleased to see you everytime,
159,-_jOwk6GsXo,"Thank you very much for all your valuable suggestions and tips, u have shown a way how to analyse different stocks and plan accordingly",
160,-_jOwk6GsXo,Your explanation is top🤑🤑,
161,-_jOwk6GsXo,"Prime Minister Modi &quot;Ji&quot; .hahaha, In this New India, &quot;Ji&quot; is very imp.",
162,-_jOwk6GsXo,Can you please come out with list if thos companies in India?,
163,-_jOwk6GsXo,F,
164,-_jOwk6GsXo,How far is birth land.,
165,-_jOwk6GsXo,I came to his channel few days back nad am addicted to it. It gives you broader insight. ❤️🙏,
166,-_jOwk6GsXo,Sir what steps are the big OPEC nations taking to help their oil dependent economy  considering the fact that renewable energy is going to be the future.<br>I know Country like iran have huge nuclear resources too which would also contribute in clean energy. But what about oil?,
167,-_jOwk6GsXo,All 3 are Gujaratis .<br>Ambani <br>Adani <br>Tata,
168,-_jOwk6GsXo,@Think School Bro can you ask your friends to keep posting &quot;this is the best channel&quot; or &quot;this is better than MBA&quot;?,
169,-_jOwk6GsXo,Ye 3no Gujarati hai 👌👌🔝,
170,-_jOwk6GsXo,These should be documented in Netflix 🥺,
171,-_jOwk6GsXo,"Amazing presentation &amp; great content, You have a long way to go!",
172,-_jOwk6GsXo,Amazing...,
173,-_jOwk6GsXo,Most logical business channel,
174,-_jOwk6GsXo,Fentastic analysis!!! Thankyou.,
175,-_jOwk6GsXo,yaar aap age se itne chote lagte ho par itna knowledge 🔥 kaise ?,
176,-_jOwk6GsXo,Today I completed book &quot;The Third Industrial revolution&quot; by jeremy rifkin<br>Thanks for your suggestion. One of best book I have read.,
177,-_jOwk6GsXo,Valuable inputs 👍,
178,-_jOwk6GsXo,Awesome <br>This video is also a gem in you tube but people watch reels,
179,-_jOwk6GsXo,Very good,
180,-_jOwk6GsXo,Can&#39;t know how I stopmed onto this. All in all GREAT content 🙌🙌. I also watched those similar from mStarTutorials and kinda wonder how you guys make these vids. MStar Tutorials also had cool information about similiar money making things on his channel.,
181,-_jOwk6GsXo,One of the best channels on youTube,
182,-_jOwk6GsXo,This is not just about this video. Excellent content/presentation. Please share your LinkedIn profile.,
183,-_jOwk6GsXo,Your the goldmine! 💗🙌,
184,-_jOwk6GsXo,I hope this channel hits 10 million soooooon and then I wanna come back to this comment and write &quot;I told you so&quot;.,
185,-_jOwk6GsXo,"Green Energy to combat pollutants like CO2? <br>Can we take 2 steps back and try to see earth atmosphere con,tent. Nitrogen 73% and oxygen 16℅, Argon, a distant third. How come co2 is missing? <br>Co2 is found in the thin slice &#39;other&#39;s. Actual co2 con tent is 0.038%<br>The pollution discussion has to quickly end. <br>The word pollution supports multi billion green energy initiatives.",
186,-_jOwk6GsXo,Wh I didn&#39;t I found this pretty❤️channel  a way early.....,
187,-_jOwk6GsXo,Well&#39;s fargo&#39;s market cap is 170 billion dollar not 19 billion dollars and that 19 billion dollars is it&#39;s profit,
188,-_jOwk6GsXo,Sorry to say this...This video is smart  advertisement of smallcase app. 😏😞😣,
189,-_jOwk6GsXo,Love you ❤️,
190,-_jOwk6GsXo,Pike and shovel strategy..,
191,-_jOwk6GsXo,Really informative as usual<br>How do u keep yourself updates with such information ??<br>(2nd order thinking question)😁,
192,-_jOwk6GsXo,"No words.<br>Extrodinary video as always.<br><br>Rajesh: rahul, i am going mine gold are u    comeing with me<br>Rahul: no, u go amd mine gold, i will sell you horses and jeans😎",
193,-_jOwk6GsXo,"You always , literally ALWAYS teach us something new, different n useful content . Always a best place to utilise my time! ❤️",
194,-_jOwk6GsXo,This is how we enter revolutionary era👏🏻,
195,-_jOwk6GsXo,Next video topic :what is your source of learning<br>Plz 🙏,
196,-_jOwk6GsXo,have you watched THE PLANET OF HUMANS ---pls do watch if you can can for better understanding the green energy revolution,
197,-_jOwk6GsXo,This channel is gold!,
198,-_jOwk6GsXo,Even exide industry,
199,-_jOwk6GsXo,Love you bro everytime i watch your video it adds great value to me everytime<br><br>Thank you so much bro keep it up 🎉👏,
200,YCngR6uSEVo,"Hi everyone,<br>I am sorry for the edit flaw at <a href=""https://www.youtube.com/watch?v=YCngR6uSEVo&amp;t=4m05s"">4:05</a> <br>It&#39;s an honest mistake.<br>But you guys are so kind you turned it into a joke 😂 <br><br>Thank you :)<br><br>Regards<br>Ganeshprasad",
201,YCngR6uSEVo,Why was the brand sold to Chinese?,
202,YCngR6uSEVo,Hahahahahhaahah🤣🤣🤣🤣byjus,
203,YCngR6uSEVo,"the way that you give the presentation is really fast, so could you do it a little bit slowly?",
204,YCngR6uSEVo,Thank you sir 🙏❤😃,
205,YCngR6uSEVo,Tata and MnM have also captured the safety position in minds of consumer. Meanwhile Suzuki is dragging it&#39;s feet on mandatory aitbags.,
206,YCngR6uSEVo,BYJU&#39;s😂😂😂,
207,YCngR6uSEVo,BYJUS 🤣🤣  Truly the entire education system has became only business.... Respect to this channel which is providing such content with so much research and efforts for free while the schools are raising fees 10% every year..,
208,YCngR6uSEVo,"<a href=""https://www.youtube.com/watch?v=YCngR6uSEVo&amp;t=4m05s"">4:05</a> <br>See the subtitles!",
209,YCngR6uSEVo,"I am 36 and a businessman, I am glad I am still learning from you. Good work. Thanks.",
210,YCngR6uSEVo,Byjus be like - Mjhe kyu toda,
211,YCngR6uSEVo,<b>*cough*</b> Byjus 😂,
212,YCngR6uSEVo,But Volvo cars is a loss making entity.,
213,YCngR6uSEVo,The best part of the video was the &quot;cough&quot; byjus! 😂😂😂,
214,YCngR6uSEVo,"Brand loyalty has its advantages and as said for the benefit of society a patent is given away free involves confidence,  trust and courage. <br>Indian companies should evolve in those lines. <br>Making money the corrupt way and to evade taxes lots of corporates have CSR conundrum. <br>Apart from sustainable growth,  strategic planning can give Indian MNCs few scope to reevolve on conscious business practices. <br>Loyalty cannot be bought. Branding with conscience is essential. <br>If Volvo keeps up the good work,  we can at our level can also follow such principles.  Corporate to consumer to common man. <br>Thanks Ganesh for your elucidation.",
215,YCngR6uSEVo,Byjus 😂,
216,YCngR6uSEVo,that cough was anti-toxic,
217,YCngR6uSEVo,🤧🤧😷byjus,
218,YCngR6uSEVo,Sir failure ke upper case study banaiye,
219,YCngR6uSEVo,Thank you Sir 🙏🙏🙏🙏💐💐,
220,YCngR6uSEVo,Bro. Make on byju&#39;s.<br><br>Why are they aquccring aakash.<br>Grade up.<br>It&#39;s not happening good,
221,YCngR6uSEVo,"<a href=""https://www.youtube.com/watch?v=YCngR6uSEVo&amp;t=4m03s"">4:03</a> Cough Cough, the caption 🤤",
222,YCngR6uSEVo,Right ON  the brand is now sold to Chinese I remember. Unfortunately,
223,YCngR6uSEVo,Cough was good and at that time I literally laugh a lot .......LOL,
224,YCngR6uSEVo,I really respected Volvo coz of you,
225,YCngR6uSEVo,Isn&#39;t Volvo a Chinees company nowadays... owned by Zhejiang Geely Holding,
226,YCngR6uSEVo,I am sharing this video just for the sarcasm on  5🍹...😀😅😂,
227,YCngR6uSEVo,Byjus 😂😂😂,
228,YCngR6uSEVo,Omg I lost it when he coughed😂😂😂😂,
229,YCngR6uSEVo,One of the videos you said Greatness is a choice. Greatness is the choice of Volvo.,
230,YCngR6uSEVo,Great great great....!!!,
231,YCngR6uSEVo,Hahah. That BYJU one. 😁😁😁,
232,YCngR6uSEVo,Volvo is now owned by China. <br>It was then when part of Sweden long back.,
233,YCngR6uSEVo,Great car  Company,
234,YCngR6uSEVo,Now its chines brand,
235,YCngR6uSEVo,Maruti Suzuki left the chat,
236,YCngR6uSEVo,Tata is bast,
237,YCngR6uSEVo,"Byjus is a sucker of life ,🤣🤣😂😂",
238,YCngR6uSEVo,I aspire to own a volco XC40 someday,
239,YCngR6uSEVo,Hindi mein bolna try karlo bro kind request,
240,YCngR6uSEVo,☑️💛,
241,YCngR6uSEVo,Happy to hear the youtube algorithm initiation... It will create more sharing. Great communication skills baaba✨,
242,YCngR6uSEVo,Thank you for yr lectures I feel great that IIM Not needed anymore,
243,YCngR6uSEVo,Bhai ap jo information dete its v good but try to edit and add some animation to understand....,
244,YCngR6uSEVo,The dislikes are by the BYJUS employees 😂😂😂,
245,YCngR6uSEVo,Wah .... safe life only for those who can buy a car above 1 core.....,
246,YCngR6uSEVo,I wish many of our movie stars have this conscious capitalism.,
247,YCngR6uSEVo,Volvo is one of my favourite car brands ❤️😍,
248,YCngR6uSEVo,<b>BYJUS</b>,
249,YCngR6uSEVo,Very nice information... great new  approach to me to lead my product development path of semi recumbent e bicycles,
250,YCngR6uSEVo,Maruti suzuki left the chat 😂😂,
251,YCngR6uSEVo,"I AM WORKING IN BYJUS FROM PAST 3 YEARS , YOU CANNOT UNDERSTAND HOW IT IS REALLY CHANGING THE LIVES OF PEOPLE FROM REMOTE LOCALITY, I HAVE DONE THE GROUND WORK, SO PLEASE DONT PASS SUCH COMMENTS ON WORLD&#39;S LARGEST ED TECH",
252,YCngR6uSEVo,But it is fact the Volvo car is no longer Swedish n rather Chinese.,
253,YCngR6uSEVo,I can&#39;t stop  laughing when you mentioned byjs,
254,YCngR6uSEVo,Baby in the thumbnail is num num...,
255,YCngR6uSEVo,Byju’s 🤣,
256,YCngR6uSEVo,Yet volvo sold to geeky (Chinese company)... Business cannot be run on charities,
257,YCngR6uSEVo,Byju 😄😄😄😄😄,
258,YCngR6uSEVo,Respect increased for volvo,
259,YCngR6uSEVo,"<a href=""https://www.youtube.com/watch?v=YCngR6uSEVo&amp;t=4m02s"">4:02</a> oh my god🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣",
260,YCngR6uSEVo,All yr videos are simply too good. A lot of Learning n getting know about the unknown. Thnx 4 dis amazing knowledge..,
261,YCngR6uSEVo,Next case study of Toyota,
262,YCngR6uSEVo,"@<a href=""https://www.youtube.com/watch?v=YCngR6uSEVo&amp;t=4m04s"">4:04</a> Subliminal Diss😂",
263,YCngR6uSEVo,Volvo is owned by a chinese company,
264,YCngR6uSEVo,"Wait, I not understood that byju&#39;s wala joke. Anyone explain?",
265,YCngR6uSEVo,HahahahahahHhahha byju’s,
266,YCngR6uSEVo,They said same for Titanic,
267,YCngR6uSEVo,"Companies like BYJUS why do even they survive.. its us who work for them, we should avoid toxic companies no matter what they give",
268,YCngR6uSEVo,Tell details of the byju story ...,
269,YCngR6uSEVo,Tell details of the byju story ...,
270,YCngR6uSEVo,The byjus banter was epic🤣🤣🤣🤣🤣🤣🤣🤣,
271,YCngR6uSEVo,"Incredible way of speaking bhaiya, or rather - sir.",
272,YCngR6uSEVo,40 years of accident and damage data!!! That&#39;s insane.👏👏👏👏👏👏,
273,YCngR6uSEVo,Great Video👌🏻. Subscribed👍<br>Safety is one of the core values of Volvo. Proud to be a part of Volvo Trucks India.,
274,YCngR6uSEVo,Volvo❤,
275,YCngR6uSEVo,Pleased to see you everytime,
276,YCngR6uSEVo,"Hats off to Volvo. What a generous attitude! Thanks Mr.Ganesh, for yet another interesting business case study.",
277,YCngR6uSEVo,Yes! A video on Byju please 😂,
278,YCngR6uSEVo,Indian car market gillete is Maruti Suzuki,
279,YCngR6uSEVo,India volvo is Tata❤️🇮🇳.,
280,YCngR6uSEVo,How many here to read Byju comments? 😂😂,
281,YCngR6uSEVo,Maruti: Safety what?,
282,YCngR6uSEVo,Video 9 of telling<br><br><br><br>Change your content to both Hindi as well as English. More and more people could consume this awesome information then.,
283,YCngR6uSEVo,"<a href=""https://www.youtube.com/watch?v=YCngR6uSEVo&amp;t=4m01s"">4:01</a> Byjus killed😂",
284,YCngR6uSEVo,Bhai chods(byju&#39;s),
285,YCngR6uSEVo,"Your presentation content, energy and case studies discussed  is quite inspiring and appreciable. I have started teaching my 13 yr old daughter about Business world using your presentation. thanks, Keep up your good work :)",
